,avg_household_size_v2,median_household_income,pct_age_18_24,pct_age_65_plus,pct_bachelors_or_higher,pct_family_households,pct_hh_income_100k_plus,pct_hh_income_25k_50k,pct_hh_income_50k_100k,pct_hh_income_under_25k,pct_households_with_own_children_under_18,pct_less_than_high_school,pct_one_person_households,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_renter_occupied,pct_senior_living_alone_households,pct_some_college_or_associate,pct_vacant_housing_units,poverty_rate,unemployment_rate
avg_household_size_v2,1.0,0.390327768721175,-0.2909621912087886,0.05864105049266927,-0.398207083037217,0.637233067229126,0.3807700212870039,-0.1813294415690583,0.189476525019091,-0.3386495276264924,0.7067667865458553,0.030291797077577197,-0.5809528625553706,-0.2310434583854025,-0.20030103650109604,-0.5045894828077546,0.19921948038484835,0.42351995595644587,-0.26566591807126844,-0.25297908177128015,0.13163042583816034
median_household_income,0.390327768721175,1.0,-0.7441410909116666,0.6804518059855904,-0.07310817948998273,0.8043096989217942,0.9610040549636936,-0.4638653875805829,0.4505522923194642,-0.8617678547222751,0.6468378574018055,-0.2557758930307123,-0.330921600490323,-0.4893025665562459,-0.5259493395716136,-0.8804789701371253,0.19010508163614762,0.2501067200169523,-0.7510374760458056,-0.8278090972393355,-0.41051231968903773
pct_age_18_24,-0.2909621912087886,-0.7441410909116666,1.0,-0.6971012803438152,0.4891970609427978,-0.8262310289314523,-0.6386907289229163,-0.09540335440058759,-0.7357596323477602,0.918870209554394,-0.6678487913742792,-0.020320269953349505,0.3515852278286203,0.5314426816763121,0.7329451891971822,0.8138909279066475,-0.3518412086176401,-0.5452445621379516,0.7456614644000265,0.9339215285524393,0.09393126415498557
pct_age_65_plus,0.05864105049266927,0.6804518059855904,-0.6971012803438152,1.0,-0.14355766881633092,0.595050989089193,0.6316032792731745,-0.2177289388865889,0.46117335238739665,-0.6631764232297688,0.2858275904290804,-0.1368372500315534,-0.20224853761152004,-0.303361290590034,-0.4136265218025942,-0.7328084517382426,0.3100640045652699,0.18865224613431208,-0.5840484035245866,-0.6769698472147755,-0.23486543192999992
pct_bachelors_or_higher,-0.398207083037217,-0.07310817948998273,0.4891970609427978,-0.14355766881633092,1.0,-0.46252386687408686,0.07067067432795629,-0.4673434696693513,-0.44791727450694224,0.33060522997901515,-0.38673038839228835,-0.4976969707929275,0.2326817089357849,0.33834687756763016,0.437078615432261,0.36686645789865857,-0.2055550766926205,-0.8181031468546207,0.17079915146709715,0.31468997585171093,-0.3527528725381158
pct_family_households,0.637233067229126,0.8043096989217942,-0.8262310289314523,0.595050989089193,-0.46252386687408686,1.0,0.7316306681403707,-0.11759275013365124,0.614196594893853,-0.8576485531343797,0.8854922588424694,-0.003189534495970856,-0.5097055415626277,-0.5035874232028049,-0.6353590553529442,-0.8936879460828303,0.3530133697793573,0.5020396419231001,-0.6963388878479785,-0.8429566125517008,-0.12224380332062534
pct_hh_income_100k_plus,0.3807700212870039,0.9610040549636936,-0.6386907289229163,0.6316032792731745,0.07067067432795629,0.7316306681403707,1.0,-0.5452639206316335,0.317625649624977,-0.780339854732363,0.6014092540176333,-0.37842743710817195,-0.3419284917882943,-0.4016586956367262,-0.4269664483007977,-0.8179431881866678,0.1608755332901117,0.1512686508969856,-0.7097970694153372,-0.7480505554951488,-0.44920822792364556
pct_hh_income_25k_50k,-0.1813294415690583,-0.4638653875805829,-0.09540335440058759,-0.2177289388865889,-0.4673434696693513,-0.11759275013365124,-0.5452639206316335,1.0,0.07704945058912595,0.033321955206383425,-0.03743081854933608,0.32831013302016604,0.15340206043659452,0.12101653164722172,-0.21297483357904892,0.3072835082712073,0.030846563642808304,0.2924469091080795,0.24914037153517973,0.01954601828359085,0.4241009150707473
pct_hh_income_50k_100k,0.189476525019091,0.4505522923194642,-0.7357596323477602,0.46117335238739665,-0.44791727450694224,0.614196594893853,0.317625649624977,0.07704945058912595,1.0,-0.7609707453348017,0.4850049535352613,0.15426233400044093,-0.2419648613125173,-0.6230861384672802,-0.7176128055084137,-0.6012837110753985,0.28666741570907356,0.4470478680525241,-0.6389588236624442,-0.7438125580423166,-0.05266256730491433
pct_hh_income_under_25k,-0.3386495276264924,-0.8617678547222751,0.918870209554394,-0.6631764232297688,0.33060522997901515,-0.8576485531343797,-0.780339854732363,0.033321955206383425,-0.7609707453348017,1.0,-0.7188985940876035,0.12065294229569977,0.3413223457682286,0.5803855712172591,0.7769905848019245,0.8504052785221713,-0.28095890973689647,-0.449444656169179,0.799055272597132,0.9701314156432205,0.23876683064134446
pct_households_with_own_children_under_18,0.7067667865458553,0.6468378574018055,-0.6678487913742792,0.2858275904290804,-0.38673038839228835,0.8854922588424694,0.6014092540176333,-0.03743081854933608,0.4850049535352613,-0.7188985940876035,1.0,-0.04983858790071468,-0.476451489232385,-0.3968854057049078,-0.5563581234646672,-0.6836219977487868,0.2787230709808956,0.44985347725462843,-0.5906368228041607,-0.7118715322292234,-0.08891984054563719
pct_less_than_high_school,0.030291797077577197,-0.2557758930307123,-0.020320269953349505,-0.1368372500315534,-0.4976969707929275,-0.003189534495970856,-0.37842743710817195,0.32831013302016604,0.15426233400044093,0.12065294229569977,-0.04983858790071468,1.0,0.06076390230593697,-0.11110318723589652,-0.038721581328359726,0.09423556030202034,-0.009367705049275204,0.07922602289935474,0.036106790218922526,0.1100256381012512,0.32236090438508097
pct_one_person_households,-0.5809528625553706,-0.330921600490323,0.3515852278286203,-0.20224853761152004,0.2326817089357849,-0.5097055415626277,-0.3419284917882943,0.15340206043659452,-0.2419648613125173,0.3413223457682286,-0.476451489232385,0.06076390230593697,1.0,0.21915822956574135,0.26803470096512805,0.4602550739796772,-0.5648797340098424,-0.29461284592784276,0.3774290137489803,0.3281629480567835,-0.011409550715029795
pct_rent_burden_30_plus,-0.2310434583854025,-0.4893025665562459,0.5314426816763121,-0.303361290590034,0.33834687756763016,-0.5035874232028049,-0.4016586956367262,0.12101653164722172,-0.6230861384672802,0.5803855712172591,-0.3968854057049078,-0.11110318723589652,0.21915822956574135,1.0,0.6951202143042509,0.538197383772979,-0.15066459932236997,-0.39761076733760203,0.5137299019243237,0.5508348205807814,0.18733996079185192
pct_rent_burden_50_plus,-0.20030103650109604,-0.5259493395716136,0.7329451891971822,-0.4136265218025942,0.437078615432261,-0.6353590553529442,-0.4269664483007977,-0.21297483357904892,-0.7176128055084137,0.7769905848019245,-0.5563581234646672,-0.038721581328359726,0.26803470096512805,0.6951202143042509,1.0,0.599853189542262,-0.24232826810950653,-0.4789797796668791,0.58150863354523,0.7648788793349519,0.07825009072989644
pct_renter_occupied,-0.5045894828077546,-0.8804789701371253,0.8138909279066475,-0.7328084517382426,0.36686645789865857,-0.8936879460828303,-0.8179431881866678,0.3072835082712073,-0.6012837110753985,0.8504052785221713,-0.6836219977487868,0.09423556030202034,0.4602550739796772,0.538197383772979,0.599853189542262,1.0,-0.3580363464071362,-0.4623561928228151,0.7031473428235078,0.8268224788347793,0.2287803835043686
pct_senior_living_alone_households,0.19921948038484835,0.19010508163614762,-0.3518412086176401,0.3100640045652699,-0.2055550766926205,0.3530133697793573,0.1608755332901117,0.030846563642808304,0.28666741570907356,-0.28095890973689647,0.2787230709808956,-0.009367705049275204,-0.5648797340098424,-0.15066459932236997,-0.24232826810950653,-0.3580363464071362,1.0,0.21570192932309407,-0.21792009356370248,-0.32161275556452673,-0.06635645238569837
pct_some_college_or_associate,0.42351995595644587,0.2501067200169523,-0.5452445621379516,0.18865224613431208,-0.8181031468546207,0.5020396419231001,0.1512686508969856,0.2924469091080795,0.4470478680525241,-0.449444656169179,0.44985347725462843,0.07922602289935474,-0.29461284592784276,-0.39761076733760203,-0.4789797796668791,-0.4623561928228151,0.21570192932309407,1.0,-0.26963932917948313,-0.4147077158795337,0.2027721660565344
pct_vacant_housing_units,-0.26566591807126844,-0.7510374760458056,0.7456614644000265,-0.5840484035245866,0.17079915146709715,-0.6963388878479785,-0.7097970694153372,0.24914037153517973,-0.6389588236624442,0.799055272597132,-0.5906368228041607,0.036106790218922526,0.3774290137489803,0.5137299019243237,0.58150863354523,0.7031473428235078,-0.21792009356370248,-0.26963932917948313,1.0,0.8084124282943208,0.2121342288927649
poverty_rate,-0.25297908177128015,-0.8278090972393355,0.9339215285524393,-0.6769698472147755,0.31468997585171093,-0.8429566125517008,-0.7480505554951488,0.01954601828359085,-0.7438125580423166,0.9701314156432205,-0.7118715322292234,0.1100256381012512,0.3281629480567835,0.5508348205807814,0.7648788793349519,0.8268224788347793,-0.32161275556452673,-0.4147077158795337,0.8084124282943208,1.0,0.24506058034783348
unemployment_rate,0.13163042583816034,-0.41051231968903773,0.09393126415498557,-0.23486543192999992,-0.3527528725381158,-0.12224380332062534,-0.44920822792364556,0.4241009150707473,-0.05266256730491433,0.23876683064134446,-0.08891984054563719,0.32236090438508097,-0.011409550715029795,0.18733996079185192,0.07825009072989644,0.2287803835043686,-0.06635645238569837,0.2027721660565344,0.2121342288927649,0.24506058034783348,1.0
