year,serialno,state,puma,wgtp,np,hincp,fincp,adjinc,hht,hht2,noc,npf,fparc,person_count,adult_count,college_age_count,student_enrolled_count,likely_college_student_count,employed_count,reference_person_count,reference_person_student_flag,has_any_likely_college_student,has_any_student,has_any_college_age_person,has_any_employed_person,student_share_of_persons,student_share_of_adults,college_age_share_of_persons,student_heavy_flag_rule_a,student_heavy_flag_rule_b,analysis_weight,hincp_adj_real,student_heavy_flag,hh_comp_key,below_alice_flag,annual_alice_threshold
2019,2019HU0490726,17,2100,22,3,45000.0,45000.0,1010145,3.0,6.0,2.0,3.0,2.0,3,1,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,22.0,45456.525,0,1_adult_2plus_child,1,53816.98
2019,2019HU0494758,17,2100,54,2,39400.0,39400.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,54.0,39799.713,0,2_adult_0_child,1,45201.89
2019,2019HU0496229,17,2100,15,4,48000.0,48000.0,1010145,1.0,1.0,2.0,4.0,2.0,4,2,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,15.0,48486.96,0,2_adult_2plus_child,1,62274.53
2019,2019HU0501348,17,2100,72,2,26000.0,,1010145,5.0,12.0,0.0,,,2,2,2,2,2,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,72.0,26263.77,1,2_adult_0_child,1,45201.89
2019,2019HU0505603,17,2100,105,1,32000.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,105.0,32324.64,0,1_adult_0_child,1,33838.68
2019,2019HU0515460,17,2100,59,2,37800.0,37800.0,1010145,3.0,7.0,0.0,2.0,4.0,2,2,1,0,0,1,1,0,0,0,1,1,0.0,0.0,0.5,0,0,59.0,38183.481,0,2_adult_0_child,1,45201.89
2019,2019HU0516245,17,2100,77,2,1100.0,1100.0,1010145,2.0,11.0,0.0,2.0,4.0,2,2,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,0,77.0,1111.1595,0,2_adult_0_child,1,45201.89
2019,2019HU0518096,17,2100,18,1,28600.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,18.0,28890.147,0,1_adult_0_child,1,33838.68
2019,2019HU0519784,17,2100,142,4,28700.0,28700.0,1010145,3.0,6.0,2.0,4.0,2.0,4,2,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,142.0,28991.1615,0,2_adult_2plus_child,1,62274.53
2019,2019HU0526838,17,2100,157,2,36200.0,36200.0,1010145,3.0,7.0,0.0,2.0,4.0,2,2,2,2,2,2,1,1,1,1,1,1,1.0,1.0,1.0,1,0,157.0,36567.249,0,2_adult_0_child,1,45201.89
2019,2019HU0527968,17,2100,151,1,6200.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,151.0,6262.899,0,1_adult_0_child,1,33838.68
2019,2019HU0533661,17,2100,88,1,0.0,,1010145,4.0,9.0,0.0,,,1,1,1,1,1,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,88.0,0.0,1,1_adult_0_child,1,33838.68
2019,2019HU0534381,17,2100,29,2,21300.0,21300.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,29.0,21516.0885,0,2_adult_0_child,1,45201.89
2019,2019HU0537145,17,2100,95,1,16100.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,95.0,16263.3345,0,1_adult_0_child,1,33838.68
2019,2019HU0538422,17,2100,106,1,12000.0,,1010145,6.0,5.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,106.0,12121.74,0,1_adult_0_child,1,33838.68
2019,2019HU0538425,17,2100,82,2,40000.0,40000.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,2,1,0,0,0,0,1,0.0,0.0,0.0,0,0,82.0,40405.8,0,2_adult_0_child,1,45201.89
2019,2019HU0541324,17,2100,305,1,10000.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,305.0,10101.45,0,1_adult_0_child,1,33838.68
2019,2019HU0546166,17,2100,138,1,19700.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,138.0,19899.8565,0,1_adult_0_child,1,33838.68
2019,2019HU0548876,17,2100,11,1,15900.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,11.0,16061.3055,0,1_adult_0_child,1,33838.68
2019,2019HU0579848,17,2100,53,1,14400.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,53.0,14546.088,0,1_adult_0_child,1,33838.68
2019,2019HU0581843,17,2100,51,1,15000.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,51.0,15152.175,0,1_adult_0_child,1,33838.68
2019,2019HU0587469,17,2100,20,1,2300.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,20.0,2323.3335,0,1_adult_0_child,1,33838.68
2019,2019HU0591393,17,2100,338,1,0.0,,1010145,6.0,5.0,0.0,,,1,1,1,1,1,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,338.0,0.0,1,1_adult_0_child,1,33838.68
2019,2019HU0592045,17,2100,16,2,24100.0,,1010145,7.0,4.0,0.0,,,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,16.0,24344.4945,0,2_adult_0_child,1,45201.89
2019,2019HU0597786,17,2100,18,4,18000.0,18000.0,1010145,1.0,1.0,2.0,4.0,1.0,4,2,0,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,18.0,18182.61,0,2_adult_2plus_child,1,62274.53
2019,2019HU0598582,17,2100,83,3,38000.0,38000.0,1010145,2.0,3.0,1.0,2.0,2.0,3,2,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,83.0,38385.51,0,2_adult_1_child,1,54273.58
2019,2019HU0599373,17,2100,170,5,26000.0,26000.0,1010145,2.0,10.0,3.0,5.0,2.0,5,2,0,5,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,170.0,26263.77,0,2_adult_2plus_child,1,62274.53
2019,2019HU0606536,17,2100,62,1,32000.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,62.0,32324.64,0,1_adult_0_child,1,33838.68
2019,2019HU0610565,17,2100,52,1,27600.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,52.0,27880.002,0,1_adult_0_child,1,33838.68
2019,2019HU0626981,17,2100,165,1,31500.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,165.0,31819.5675,0,1_adult_0_child,1,33838.68
2019,2019HU0639713,17,2100,180,1,30000.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,180.0,30304.35,0,1_adult_0_child,1,33838.68
2019,2019HU0643115,17,2100,156,2,33900.0,33900.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,156.0,34243.9155,0,2_adult_0_child,1,45201.89
2019,2019HU0646960,17,2100,123,1,32400.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,123.0,32728.698,0,1_adult_0_child,1,33838.68
2019,2019HU0649286,17,2100,127,2,24000.0,24000.0,1010145,3.0,6.0,1.0,2.0,2.0,2,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,127.0,24243.48,0,1_adult_1_child,1,39683.02
2019,2019HU0656702,17,2100,167,1,0.0,,1010145,4.0,9.0,0.0,,,1,1,1,0,0,0,1,0,0,0,1,0,0.0,0.0,1.0,0,0,167.0,0.0,0,1_adult_0_child,1,33838.68
2019,2019HU0660933,17,2100,36,2,42000.0,,1010145,5.0,12.0,0.0,,,2,2,0,2,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,36.0,42426.09,0,2_adult_0_child,1,45201.89
2019,2019HU0675323,17,2100,149,3,6000.0,6000.0,1010145,2.0,10.0,2.0,3.0,2.0,3,1,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,149.0,6060.87,0,1_adult_2plus_child,1,53816.98
2019,2019HU0678855,17,2100,140,3,30500.0,30500.0,1010145,3.0,7.0,0.0,3.0,4.0,3,3,1,0,0,2,1,0,0,0,1,1,0.0,0.0,0.3333333333333333,0,0,140.0,30809.4225,0,3plus_adult_0_child,1,55415.09
2019,2019HU0681267,17,2100,141,1,14000.0,,1010145,6.0,5.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,141.0,14142.03,0,1_adult_0_child,1,33838.68
2019,2019HU0688560,17,2100,143,1,32590.0,,1010145,4.0,9.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,143.0,32920.62555,0,1_adult_0_child,1,33838.68
2019,2019HU0691190,17,2100,471,4,26000.0,26000.0,1010145,3.0,6.0,3.0,4.0,3.0,4,1,0,3,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,471.0,26263.77,0,1_adult_2plus_child,1,53816.98
2019,2019HU0696863,17,2100,186,4,22500.0,22500.0,1010145,3.0,6.0,3.0,4.0,3.0,4,1,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,186.0,22728.2625,0,1_adult_2plus_child,1,53816.98
2019,2019HU0698214,17,2100,51,2,35900.0,35900.0,1010145,3.0,7.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,51.0,36264.2055,0,2_adult_0_child,1,45201.89
2019,2019HU0700168,17,2100,59,2,39000.0,,1010145,5.0,12.0,0.0,,,2,2,0,2,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,59.0,39395.655,0,2_adult_0_child,1,45201.89
2019,2019HU0700751,17,2100,206,2,25000.0,,1010145,7.0,4.0,0.0,,,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,206.0,25253.625,0,2_adult_0_child,1,45201.89
2019,2019HU0701882,17,2100,193,2,20000.0,20000.0,1010145,3.0,6.0,1.0,2.0,2.0,2,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,193.0,20202.9,0,1_adult_1_child,1,39683.02
2019,2019HU0705089,17,2100,106,2,3050.0,,1010145,7.0,8.0,0.0,,,2,2,2,2,2,2,1,1,1,1,1,1,1.0,1.0,1.0,1,0,106.0,3080.94225,0,2_adult_0_child,1,45201.89
2019,2019HU0705740,17,2100,267,1,28000.0,,1010145,6.0,5.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,267.0,28284.06,0,1_adult_0_child,1,33838.68
2019,2019HU0713453,17,2100,109,2,40300.0,40300.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,109.0,40708.8435,0,2_adult_0_child,1,45201.89
2019,2019HU0714003,17,2100,75,1,15950.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,75.0,16111.81275,0,1_adult_0_child,1,33838.68
2019,2019HU0717368,17,2100,76,1,25000.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,76.0,25253.625,0,1_adult_0_child,1,33838.68
2019,2019HU0728477,17,2100,234,1,24000.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,234.0,24243.48,0,1_adult_0_child,1,33838.68
2019,2019HU0729137,17,2100,150,3,22800.0,22800.0,1010145,3.0,6.0,2.0,3.0,2.0,3,1,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,150.0,23031.306,0,1_adult_2plus_child,1,53816.98
2019,2019HU0731065,17,2100,72,2,19200.0,,1010145,5.0,12.0,0.0,,,2,2,2,2,2,2,1,1,1,1,1,1,1.0,1.0,1.0,1,0,72.0,19394.784,0,2_adult_0_child,1,45201.89
2019,2019HU0736444,17,2100,150,3,52000.0,52000.0,1010145,1.0,1.0,1.0,3.0,2.0,3,2,0,2,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,150.0,52527.54,0,2_adult_1_child,1,54273.58
2019,2019HU0736717,17,2100,150,1,21520.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,150.0,21738.3204,0,1_adult_0_child,1,33838.68
2019,2019HU0740668,17,2100,51,1,12000.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,51.0,12121.74,0,1_adult_0_child,1,33838.68
2019,2019HU0742588,17,2100,23,2,41000.0,41000.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,2,1,0,0,0,0,1,0.0,0.0,0.0,0,0,23.0,41415.945,0,2_adult_0_child,1,45201.89
2019,2019HU0743628,17,2100,18,2,8500.0,8500.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,18.0,8586.2325,0,2_adult_0_child,1,45201.89
2019,2019HU0744077,17,2100,176,5,11700.0,,1010145,5.0,12.0,0.0,,,5,5,5,5,5,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,176.0,11818.6965,0,3plus_adult_0_child,1,55415.09
2019,2019HU0747494,17,2100,20,1,12300.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,20.0,12424.7835,0,1_adult_0_child,1,33838.68
2019,2019HU0751461,17,2100,52,2,30000.0,,1010145,5.0,12.0,0.0,,,2,2,2,2,2,2,1,1,1,1,1,1,1.0,1.0,1.0,1,0,52.0,30304.35,0,2_adult_0_child,1,45201.89
2019,2019HU0763313,17,2100,113,4,38000.0,38000.0,1010145,1.0,1.0,2.0,4.0,3.0,4,2,0,2,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,113.0,38385.51,0,2_adult_2plus_child,1,62274.53
2019,2019HU0763880,17,2100,58,2,15180.0,,1010145,7.0,8.0,0.0,,,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,58.0,15334.0011,0,2_adult_0_child,1,45201.89
2019,2019HU0770068,17,2100,63,1,28500.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,63.0,28789.1325,0,1_adult_0_child,1,33838.68
2019,2019HU0811973,17,2100,89,1,8800.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,89.0,8889.276,0,1_adult_0_child,1,33838.68
2019,2019HU0788784,17,2100,187,2,0.0,,1010145,7.0,4.0,0.0,,,2,2,2,2,2,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,187.0,0.0,1,2_adult_0_child,1,45201.89
2019,2019HU0791105,17,2100,120,1,20000.0,,1010145,4.0,9.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,120.0,20202.9,0,1_adult_0_child,1,33838.68
2019,2019HU0792990,17,2100,23,1,30000.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,23.0,30304.35,0,1_adult_0_child,1,33838.68
2019,2019HU0794814,17,2100,376,1,0.0,,1010145,4.0,9.0,0.0,,,1,1,0,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,376.0,0.0,0,1_adult_0_child,1,33838.68
2019,2019HU0796126,17,2100,109,1,9500.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,109.0,9596.3775,0,1_adult_0_child,1,33838.68
2019,2019HU0801979,17,2100,51,1,10700.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,51.0,10808.5515,0,1_adult_0_child,1,33838.68
2019,2019HU0809114,17,2100,16,1,24900.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,16.0,25152.6105,0,1_adult_0_child,1,33838.68
2019,2019HU0810727,17,2100,49,2,330.0,330.0,1010145,3.0,6.0,1.0,2.0,2.0,2,1,0,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,49.0,333.34785,0,1_adult_1_child,1,39683.02
2019,2019HU0832187,17,2100,9,1,12500.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,9.0,12626.8125,0,1_adult_0_child,1,33838.68
2019,2019HU0837979,17,2100,30,1,20000.0,,1010145,4.0,9.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,30.0,20202.9,0,1_adult_0_child,1,33838.68
2019,2019HU0839790,17,2100,70,1,100.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,70.0,101.0145,0,1_adult_0_child,1,33838.68
2019,2019HU0841144,17,2100,37,3,38600.0,38600.0,1010145,1.0,1.0,1.0,3.0,2.0,3,2,0,1,0,3,1,0,0,1,0,1,0.0,0.0,0.0,0,0,37.0,38991.597,0,2_adult_1_child,1,54273.58
2019,2019HU0844117,17,2100,54,3,790.0,,1010145,7.0,8.0,0.0,,,3,3,3,2,2,0,1,0,1,1,1,0,0.6666666666666666,0.6666666666666666,1.0,1,1,54.0,798.01455,1,3plus_adult_0_child,1,55415.09
2019,2019HU0855109,17,2100,300,1,19650.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,300.0,19849.34925,0,1_adult_0_child,1,33838.68
2019,2019HU0856356,17,2100,70,2,43490.0,43490.0,1010145,3.0,7.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,70.0,43931.20605,0,2_adult_0_child,1,45201.89
2019,2019HU0856505,17,2100,139,1,30500.0,,1010145,4.0,9.0,0.0,,,1,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,139.0,30809.4225,0,1_adult_0_child,1,33838.68
2019,2019HU0858423,17,2100,65,1,24000.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,65.0,24243.48,0,1_adult_0_child,1,33838.68
2019,2019HU0859790,17,2100,263,5,43910.0,39000.0,1010145,2.0,3.0,3.0,4.0,2.0,5,2,0,3,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,263.0,44355.46695,0,2_adult_2plus_child,1,62274.53
2019,2019HU0860149,17,2100,69,1,15000.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,69.0,15152.175,0,1_adult_0_child,1,33838.68
2019,2019HU0863432,17,2100,162,5,48920.0,25920.0,1010145,2.0,11.0,0.0,4.0,2.0,5,4,1,2,1,1,1,0,1,1,1,1,0.2,0.25,0.2,0,0,162.0,49416.2934,0,3plus_adult_0_child,1,55415.09
2019,2019HU0867220,17,2100,30,3,43800.0,43800.0,1010145,3.0,7.0,0.0,3.0,2.0,3,2,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,30.0,44244.351,0,2_adult_0_child,1,45201.89
2019,2019HU0874794,17,2100,82,1,20400.0,,1010145,6.0,5.0,0.0,,,1,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,82.0,20606.958,0,1_adult_0_child,1,33838.68
2019,2019HU0878035,17,2100,111,2,35200.0,,1010145,5.0,12.0,0.0,,,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,111.0,35557.104,0,2_adult_0_child,1,45201.89
2019,2019HU0882103,17,2100,38,3,27000.0,27000.0,1010145,1.0,1.0,1.0,3.0,1.0,3,2,1,1,1,1,1,0,1,1,1,1,0.3333333333333333,0.5,0.3333333333333333,1,0,38.0,27273.915,0,2_adult_1_child,1,54273.58
2019,2019HU0883852,17,2100,13,2,0.0,0.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,13.0,0.0,0,2_adult_0_child,1,45201.89
2019,2019HU0894059,17,2100,30,1,18800.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,30.0,18990.726,0,1_adult_0_child,1,33838.68
2019,2019HU0895220,17,2100,103,5,28000.0,28000.0,1010145,1.0,1.0,2.0,5.0,2.0,5,3,1,1,0,1,1,0,0,1,1,1,0.0,0.0,0.2,0,0,103.0,28284.06,0,3plus_adult_1plus_child,1,63384.91
2019,2019HU0895688,17,2100,175,1,5200.0,,1010145,6.0,5.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,175.0,5252.754,0,1_adult_0_child,1,33838.68
2019,2019HU0897469,17,2100,13,5,46500.0,46500.0,1010145,1.0,2.0,0.0,5.0,2.0,5,4,2,2,1,3,1,0,1,1,1,1,0.2,0.25,0.4,0,0,13.0,46971.7425,0,3plus_adult_0_child,1,55415.09
2019,2019HU0898092,17,2100,101,1,31800.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,101.0,32122.611,0,1_adult_0_child,1,33838.68
